"sum","n"
-9.49999999999999,134
-103.3,209
-134.8,146
-36.3999999999999,230
-464.6,947
-135.8,158
26.3,81
-92.8,182
-212.5,182
-157,316
-21.4,501
-201.7,224
-146.2,224
-106.7,330
-29.9,142
-123.9,155
0.899999999999977,372
-154,726
-303.1,497
-495.6,823
-208.4,438
-28.3,162
-675.8,855
-18.1,118
-202.6,241
-139.4,158
150.2,266
-170.6,215
-119,174
-127.8,134
-405.2,444
-137,271
-9.5,175
-392.1,404
-125.9,483
-388.9,366
33.6000000000001,242
-66.5,146
-180.8,622
-510,348
-97.4,355
-209.6,223
-72.2,142
8.29999999999998,162
-213.5,359
-100.8,102
-190,404
-50.7,85
-439.8,828
-76.5,165
-223.6,430
-445.8,570
78.7000000000002,620
-394.5,423
-244.4,183
-148.3,343
-90.8,180
-414.2,1240
-416.7,796
-37.1000000000004,977
-169.6,189
-22.8,164
-90.4,83
-177.9,175
-388.8,570
-87.1,94
-296.4,802
-107.8,214
-227.7,228
-42.3,79
-114.5,538
-71.2999999999999,578
-119.6,183
-27.4,243
-398,291
-162.5,293
1.40000000000001,117
-344.7,345
-327.5,512
-164.1,187
-90.7,82
-523.5,569
5.09999999999999,278
-197.9,254
-326.1,275
-120.9,116
-274.7,455
-230.7,186
-40.6,127
-105.2,329
-260.9,384
-102.2,188
-35.8,70
-190.6,166
-93.3,251
-105.5,133
-54.2,293
-47.1,142
-354.2,546
-92.8,289
-33.2,199
-466.7,588
-64.6,120
-726,759
-100.7,358
-118.8,292
-5.7,90
2.8,84
-290.4,349
-42.6,202
-98.1,194
-109.4,284
-278.7,401
-186.3,280
41.1,83
-246.9,681
40.8,200
-638.700000000001,1581
-367.6,530
-322.6,685
-123.4,215
-307.7,450
-198.3,173
-142.3,164
-159.2,134
-124.8,190
-22.9,113
-233.2,293
-195.1,303
-103.7,376
-103.6,257
-308,241
-370,277
-45.9,77
-277.9,433
-43.4,263
-158.4,113
-303.2,416
-161.3,312
-91.4,138
-114.9,120
-19.8,80
-8.39999999999992,295
-294.8,292
-274,782
-87.4999999999999,417
-199.2,440
-71.9,80
-41.6,104
-383.8,624
-6.09999999999999,188
-31.8,65
-83.6,204
-160.4,909
-204.3,402
-151.4,255
-669.9,949
-416.9,324
-282.8,462
-91.0999999999999,551
23.6,154
-110.8,101
-31,139
-255.8,248
-35.6999999999999,319
-73.3,277
39.8,139
-116.7,351
-34,116
-265.7,555
-15.8,163
-279.1,372
-261.3,506
-74.3,146
-78.6,181
-361.5,1047
-133.6,622
-73.8,246
-132.8,169
-296.6,382
-26.7,128
-0.899999999999991,155
-1376.5,1458
60,96
25,123
-123.1,332
-198.8,157
-418,448
-120.3,198
-284.3,562
-1.10000000000001,145
-308.4,381
-35.4,174
16.7,132
-390.9,450
-45.1,146
-116.7,197
-477.5,548
-537.8,855
-149.7,107
-201.5,717
49.6,92
-258.3,541
-92.6,199
-65.8,245
-198.6,334
-66.4,108
-206.2,439
-106.5,147
-11.4,95
-65.6,109
-35.2,136
-34.8,87
-88,118
-73.6,236
-149,252
-72.5,273
-294.6,570
-244.9,380
-200.6,135
-161.6,338
-73.1999999999999,336
-41.3,112
10,218
-40.8,94
-34.3,77
-89.1,376
-164,220
63.5000000000001,328
-216.4,645
-465.6,681
62.8,195
-629.3,946
-27.4,75
-25.3,217
-91.2,216
94,302
-419.3,701
-90.9,137
-231.9,218
-143.2,195
-343.1,523
-230.8,188
-29.6,332
70.7,531
-95.8,294
-182.8,398
-123.1,158
-126.8,183
-132.5,245
-207.7,479
2.59999999999998,140
-25.1,88
-85,297
-108.8,177
56.1,85
-63.7999999999999,334
-627.6,852
-38,262
-31.7,70
-164.7,137
-40.8,75
-154.5,167
-115.3,246
-65,194
-168,464
-609.6,718
-223.8,303
-138.1,181
-219.9,338
-467.6,1020
-130.4,165
-74.2999999999999,285
-25.4,70
-28.8,335
-184.3,510
-30.1,150
-93.8,262
-352.6,765
-49.5,137
-54.7,117
-5.90000000000002,114
-198,514
36.4,110
-334.5,748
-196.7,263
-6,908
-357,535
-182.4,435
-307.7,1040
-223,304
-129.5,252
12.3000000000001,366
-206.2,473
-598.4,798
-541.7,819
-337.8,394
-73.1999999999999,365
-173.7,139
-455.4,428
-160.6,278
-38.5999999999999,251
-40.7,92
-154.9,238
-812.4,837
-68,193
-38.1,110
-134.3,259
-133.6,220
-62.7,136
-80.2,134
-347.9,577
-436.4,616
-233.5,667
-63.7,111
10.9,203
-151.6,326
-731.6,680
34.1,274
-67.8,175
-275.8,298
-74.8,265
-171.8,399
-1553.3,2437
-135.2,138
-310.9,418
-67.3,161
-332.3,487
-58.7,243
-196.5,273
-24.8999999999999,366
-3,200
-213.5,496
-431.1,579
-3.59999999999999,132
-118.7,189
16.7,238
-257.7,266
-549.3,1512
-7.30000000000001,165
-114.1,98
-887.7,1252
-62.4,138
-135.2,305
-43.9,243
-243.6,385
-127.6,235
-27.8,192
-167.5,199
-95.9,246
48.2,111
-278.7,425
-107.8,196
-235.4,337
-117.7,293
-425.8,684
-156.3,232
-10,85
-616.1,548
-185.5,385
-26.4,204
39.2,257
-690.4,780
-326.5,403
-103.1,134
190.8,526
-0.999999999999886,570
23,70
-249.7,505
-248.9,310
-128.5,107
-143.3,574
-128.3,231
-120.2,165
11.5,96
-192.3,129
-141.9,163
-89.2,233
-366.3,756
43.5000000000001,240
105.6,187
-275.8,811
-190.9,310
-13.7,166
-95.6,173
-149.6,462
-134.8,602
-237.5,352
-99.8,103
-35.4999999999999,474
-85.8,237
-354.7,556
-131.5,183
-92.5,137
14.4,273
-89.3,122
-101.4,263
-156.2,227
-468.1,342
-85.6,216
-106.4,173
-51.2,262
-5.00000000000001,134
-354.5,418
-76.7,210
-315.7,717
-468.7,621
-66.2,117
-205,320
-451.6,545
-80.4,647
-311.9,565
-262.1,219
-249.7,431
-363,589
-628.4,923
-386.3,807
3.3,84
-65.5,269
-179.8,132
-8.2,113
-2.10000000000001,81
10.4,128
-228.8,458
-56.4,192
-332.6,345
-31.1,402
-142.5,145
-41.4,134
-117.3,249
-205.5,567
-138.2,125
-134.1,116
-83.1,259
-105.5,125
-4.90000000000003,251
-302.1,275
-54.9,57
-72.9,108
56.3,266
-288.8,650
-323.9,581
-66.8,221
-53.7,97
14.2,97
-31.7,79
-265.8,378
-87.5,225
-15,263
-282.4,362
-47.2,92
-90.3,228
-280.5,318
-190.4,241
-124.4,235
-191.4,204
-254.1,200
-181.8,355
-409.6,1072
-215.7,314
-43,177
-314.7,646
-1.80000000000001,131
-327.4,465
11.8,259
-121.5,298
-69.2,145
-275.9,413
-1037.3,1544
-543.3,760
-442.9,826
-233.4,198
-138.7,298
-228.2,289
-211.1,225
-524.1,919
-72.3,167
-468.7,609
-172.6,103
-88.2,301
-108.4,211
-262.6,301
-302.5,306
-128.5,109
-684,822
-600.3,829
-368.5,463
-449.2,1104
-41.3,119
-184,281
-630.2,771
-224,246
-793.1,894
-148.3,251
-240.7,208
-55,165
-447.5,859
-904.5,1115
-159.2,103
-127.3,151
-80.2,241
-70.9,150
-137.6,304
-133.3,196
-120.5,130
-189.8,201
-90.8,179
-896.2,1120
-124,200
-363.3,432
-225.4,179
-305,254
-7.30000000000001,90
-364.9,529
-171.700000000001,1152
-170.6,164
-628.2,476
-254.1,191
-263.9,315
-33.2,258
-626.3,1105
-279.5,293
-680.1,1301
-31.2,310
-57,190
-94.6,116
-250.4,259
-40.8,150
-663.9,974
-71.7,104
-5.2,33
-124,96
-11.2,50
-1.90000000000001,57
-50.5,66
-12.6,62
-26.1,42
-60.8,94
-13,33
-45.2,85
-42.4,77
-106,76
-18.8,49
9.89999999999998,76
-73.2,94
-439.9,346
-212,235
-90.9,202
-250.3,203
-469.7,1399
-160.4,294
-303.2,424
-57.0000000000001,312
-83.5,168
-80.2,90
18.9,59
-5.20000000000002,119
-68.6,199
-525.5,816
-103.9,116
-48,279
-655.1,796
-153.1,181
-80.8,180
-133.1,206
-202.2,89
-99,169
2.09999999999998,133
-123.7,147
22.4,72
-24,107
-101.8,245
-159.1,240
-281.9,473
-175.3,279
-111.7,339
-66.7,351
-23.7,140
-51.3,213
-319.7,537
-17.3,114
-321.1,498
-50.2,111
-61.4,50
19.9,132
-40.4,57
10.1,6
-24.1,10
-24.5,67
-37.4,16
-5.40000000000001,38
-41.7,87
7.90000000000001,45
-260.7,219
-190.2,229
-420.8,588
-71.6,105
-123.5,120
-371.5,444
-180.7,261
-155.5,362
-149,164
-269.1,275
-92.4,267
-218.2,267
-496.3,691
-86.4999999999999,249
-42.3,91
-159.8,170
-106.1,155
-142.2,360
-352.9,289
-418.9,541
-102.5,143
-66.3,102
-32.6,135
-112.3,203
-52.3,166
-1.30000000000001,163
-247.9,369
-206.9,244
-189.2,271
-104.5,185
-190.4,239
-165.6,159
-50.9,104
-130.7,240
-17.6,154
-22.8,165
-346.5,285
-139.6,132
-68.9,95
-223.9,196
-108.1,195
-27.3,79
-194,206
-80.9,199
1.2,136
-176.1,158
-165.5,119
-22.3,127
-86.6,92
-47.7,78
-310.9,412
4.29999999999998,100
-57.4,153
19.1,109
-258.1,192
-186.9,205
-47.7,63
-195.3,194
-122.2,114
-73.5,73
-158,158
-10,64
-122.9,127
-134.9,130
-50.4,50
-100,160
-52.4,97
-203.2,174
50.6,119
-116.9,147
-74.9,88
10.8,90
11.7,121
-192.1,194
-129.2,101
4.99999999999999,138
-28.9,117
-89.2,76
-27.6,110
81.3,137
-63.7,60
-33.7,119
-106.6,336
-59.2,81
-68.5,70
-66.1,62
-56.2,96
-14.7,27
-122.4,103
-35,104
-84.3,401
-221.8,326
-68.1,338
-552.7,844
-73,220
-128.7,142
-37.4,116
-100.7,159
-145.8,228
-52.1,175
-73.2999999999999,398
-440.4,411
-29.5,54
-122.8,77
-74.2,257
-120,209
-402.5,364
-209.5,154
-183.6,323
-7.20000000000002,175
-102.5,89
36.7,207
-287.6,322
-218.4,515
-168.9,353
-90.3,140
-169.7,196
57.8,90
-526.3,818
69.8,128
-27.6,127
-141.1,162
25,77
-8.7,48
-130.9,83
-87.3,101
-59.4,67
-171.9,176
-108.6,147
0.400000000000006,46
-42.1,45
-3.1,22
-17,53
56.5,80
39,63
7.9,49
-61,84
-177.6,98
-264.6,389
-224.8,270
-66.1,135
-362.2,493
-48.2,101
-55.6,103
-133.1,153
-52.9,197
-169.4,230
-282.5,578
-16.4,108
-281.8,276
27.2,46
-223.3,184
-71.9,135
-377.1,390
-34.6,108
-31.4,129
-111.3,175
-99.1,245
-278.1,190
41.5,149
-137.5,94
15,62
-79.5,206
-38.9,192
-81.2,120
-84.5,113
-10.3,78
-34.4,70
-49.7,93
-5.30000000000001,67
-120.9,98
-143.3,159
-50.9,82
-56,73
-93,66
-18.9,24
-62.6,128
-177.4,190
-5.8,15
-34.8,20
-10.7,82
-148.1,129
-71.8,90
-73.2,97
-67.4,149
-67.2,122
-200,271
-55.2,145
-85.1,87
-20.4,109
-40.3,160
-15.2,112
-182.2,386
-39.6,112
-108.9,113
-218.5,210
-63.4,93
-71.8,67
-24.8,71
-16.3,41
-101.2,124
-77.3,99
-149.2,86
-46.8,81
-62.9,64
-118.3,95
-108.2,81
-187.1,145
-49.7,173
-219.4,305
-94.9,97
-51.1,208
-546.6,649
-37.7,77
-63.7,147
-283.9,541
-260.6,266
-134.8,227
-234.8,261
-30.8,110
-176.6,110
26.6,138
-31,144
-118.3,188
-25.8,132
-38.4,82
-328.3,595
-237.8,248
-88.3,190
-122.6,217
-38.5,178
-282.5,437
-30.8,111
63,149
-182.8,350
-252.9,451
-20.8,118
7.29999999999998,130
106.7,129
-310.4,282
-220.5,150
-165.9,190
-78.3,133
-200.9,115
-21.1,137
-88.1,172
-176,109
-134.3,88
35.2,97
-93.2,127
82.8,75
-68.7,172
18.3,75
-85.2,125
-136.1,168
-147,94
-10.8,14
11.9,73
-11.3,129
-44.1,218
-70.7,94
-107.9,46
0.599999999999994,61
-71.5,106
20.3,101
37.6,68
-42.9,46
-31,94
50.9,147
-159.5,218
-177.8,166
-109.6,133
-77.8,135
-70,245
-155.6,264
-216.8,175
-64.3,75
-17.8,54
-145.6,139
-320.1,378
-120.5,204
-186.4,179
-121.8,201
-54.3,89
11.4,139
-77.8,200
-1.00000000000001,86
-232.6,247
-25.3,209
-246.8,425
-175.2,215
-251.9,235
-125.4,65
-19,151
-223,338
-61.7,186
-56.9,246
-230.4,157
-28.1,129
-43.4,84
-68.7,113
-54.1,102
-0.200000000000003,131
-334.5,371
-74,164
-56.7,200
-39.2,195
-80.6,106
-185.6,118
-17.3,102
67.6,95
-54.3,170
-46.6,87
-38.5,82
17.9,41
-76.9,88
-10.7,61
-27.9,47
-47.6,71
-147.8,92
-210.1,347
-125.2,232
-38.6,74
-21.3,27
-143.1,163
-123.9,212
12.9,93
-99.8,242
-15.3,148
-65.3,83
-158.1,158
-37,104
-219.9,270
-15.5,199
-68.2,137
-169.5,128
-283.2,182
-255.8,247
-427.5,458
-177.8,133
-38.9,307
-95.5,305
-214.6,229
-458.7,620
39.8,126
-61.4,96
-2.50000000000001,111
12,188
-292.2,526
-36.8,121
-84.1,102
-35.7,103
-17.3,98
-40.4,151
-271.4,329
-14.1,159
-331.8,263
-96.4,284
-266.6,260
-345.4,315
-175.5,143
-88.4,148
-93.3,78
29.5,148
-180.6,153
-124.8,238
-56.4,102
-74.6,157
-163.7,235
-48,56
-121.5,133
-29.6,112
23.4,98
-31.4,24
-12.9,32
-35.4,108
-17.5,70
25.5,54
54.7,47
3.09999999999999,74
0.899999999999999,68
-74.3,66
-18,28
-33.4,68
-30.6,77
-153.3,143
-108.4,172
-118.2,163
-155,174
-39.8,90
-114.8,93
-60.9,162
-120.9,161
-170.6,178
-627.7,461
16.2000000000001,373
-132.5,301
-115.5,259
-870,647
-734.7,870
-129.3,105
-203.8,234
-194.7,157
-315.3,400
-545.1,330
-372.8,304
-42.1,109
-106,137
-299.1,210
-333.1,374
-227.8,290
-384.1,345
-223.4,156
-109.4,226
-237.6,168
-266.8,233
-90.9,205
-258.8,211
-30,177
-217.1,123
-416.1,298
-105.1,223
-83.1,228
-292.5,270
-344.5,300
-348.5,383
-103.1,351
-268.4,228
-147.6,127
-174.1,178
-390.6,173
-56.5,74
-402.2,378
-81.1,225
-242.9,160
-147.7,207
-422.6,309
-420.3,460
-220.6,249
-387.6,245
-61.7,93
-321.2,230
-356.6,298
-192.3,113
-792,855
-316.8,326
-133.4,124
-223.9,137
-118.4,95
-451.7,376
-207.6,141
-277.7,115
-391.7,264
-211.8,275
-231,189
-337.4,289
-152.8,145
-112.3,127
-193.2,123
-249.3,226
-126.2,125
-16.8,103
-123.4,103
-86.9,84
-194.8,406
-107.4,107
-68.1,42
-122.7,154
-266.7,125
-48.6,65
-211.9,158
-79.6,113
-222.2,133
-60,84
-83.8,182
-120.9,147
-300.9,129
-457.4,341
-168,279
-226.1,169
-121.4,166
-297.5,435
-458.8,343
-252.2,241
-188.2,417
-180.9,132
-6.10000000000002,161
-200.8,196
-33.5,81
-43.4,96
-115.5,120
-134,183
-123.8,202
-124,210
-208.9,147
-12,52
-116.9,86
5.4,36
-411.6,296
-64.7,76
-3.59999999999999,43
-418.1,198
-233.1,177
1.4,64
-158.9,138
-142.9,180
-199.1,187
-52.2,40
-178.7,204
-164.1,126
-128.4,102
-622.5,797
-96.2,112
-192.5,93
-539.8,336
-723.1,555
-406.2,247
-86.9,70
-60.4,114
-249.4,156
-546.4,279
-106.7,87
-172.6,186
-511.5,338
-79.2,86
-176.8,111
-156.3,256
-104.6,55
11.9,29
-51.3,31
-8.2,13
7.7,27
-65.6,60
-45.8,79
-83.3,40
-118.4,198
-26.3,37
-5.7,13
-25.9,61
43.4,76
-19.3,47
-55.3,60
51.9,27
4.3,61
-73.6,66
89.6,47
-39.7,47
-111.2,69
23.7,69
-48.8,61
15.6,48
-44.3,91
-94.3,139
-340.4,308
-193,150
-85.6,154
-393.6,366
-572.1,529
-288.1,208
-277.7,476
-76.1,76
-25.6,176
-107.7,78
-64.8,112
-25.4,46
-39.6,64
-130.8,89
-41.9,50
-58.4,109
-59.6,67
-185.6,123
-126.4,89
-79.6,121
-238.9,338
-199.5,209
-97.6,233
-235.8,224
-161.7,109
-197.7,155
-139.7,211
-343.5,291
-106.8,132
-403.7,251
41.3,48
-64.3,58
15.8,22
-112.8,183
-76.7,68
-161.9,177
-56.1,129
-109.1,94
-73,122
-224.5,150
-103.5,100
-64.1,167
-11.9,122
-312.1,274
-342.4,428
-104.5,66
-71,131
-37.4,40
-74.7,58
-98.7,80
-17.7,77
-125.3,55
-150.3,74
-39.4,62
-202.8,181
-152.4,115
-20.4,43
35.8,59
-66.9,50
-73.1,224
-51,75
-103.6,73
